threshold,sensitivity,specificity,precision,f1,youden
0.7425252525252525,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.7474747474747474,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.7524242424242424,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.7573737373737374,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.7623232323232323,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.7672727272727272,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.7722222222222221,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.7771717171717172,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.7821212121212121,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.787070707070707,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.792020202020202,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.796969696969697,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8019191919191919,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8068686868686868,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8118181818181818,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8167676767676767,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8217171717171717,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8266666666666667,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8316161616161616,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8365656565656565,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8415151515151514,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8464646464646465,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8514141414141414,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8563636363636363,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8613131313131313,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
0.8662626262626262,0.93359375,0.98125,0.987603305785124,0.9598393574297189,0.91484375
